Date,Open,High,Low,Close,Adj Close,Volume
2019-07-26,200.19,202.88,196.25,199.75,199.75,24434000
2019-07-29,199.0,199.63,195.3,195.94,195.94,16530800
2019-07-30,195.39,198.71,193.5,197.04,197.04,11903600
2019-07-31,196.95,198.76,192.68,194.23,194.23,14593500
2019-08-01,194.17,198.47,190.88,192.73,192.73,17777000
2019-08-02,191.1,192.62,188.07,189.02,189.02,15297000
2019-08-05,184.69,185.67,179.34,181.73,181.73,23086700
2019-08-06,183.69,185.79,183.09,184.51,184.51,18035700
2019-08-07,183.6,186.37,181.22,185.15,185.15,15833200
2019-08-08,186.62,190.34,184.05,190.16,190.16,14828900
2019-08-09,190.0,190.98,187.12,187.85,187.85,11058800
2019-08-12,186.85,187.59,184.46,185.37,185.37,10936300
2019-08-13,185.52,191.38,185.37,188.45,188.45,13577000
2019-08-14,185.8,185.99,179.31,179.71,179.71,18903700
2019-08-15,180.95,183.2,180.03,182.59,182.59,12925900
2019-08-16,183.75,185.1,182.36,183.7,183.7,12654600
2019-08-19,186.01,187.5,184.85,186.17,186.17,9691200
2019-08-20,185.45,186.0,182.39,183.81,183.81,10083400
2019-08-21,185.0,185.9,183.14,183.55,183.55,8398200
2019-08-22,183.43,184.11,179.91,182.04,182.04,10821400
2019-08-23,180.84,183.13,176.66,177.75,177.75,17323400
2019-08-26,179.4,180.5,178.24,180.36,180.36,8773600
2019-08-27,181.93,184.04,181.01,181.3,181.3,14399600
2019-08-28,180.53,181.95,178.92,181.76,181.76,9386100
2019-08-29,183.77,186.08,183.47,185.57,185.57,10128700
2019-08-30,186.78,186.8,183.46,185.67,185.67,10774500
2019-09-03,184.0,185.67,182.11,182.39,182.39,9779400
2019-09-04,184.65,187.75,183.89,187.14,187.14,11308000
2019-09-05,188.53,191.36,187.94,190.9,190.9,13876700
2019-09-06,190.21,190.21,186.35,187.49,187.49,15226800
2019-09-09,187.73,188.98,185.85,188.76,188.76,14722400
2019-09-10,187.44,188.1,184.55,186.17,186.17,15455900
2019-09-11,186.46,189.44,186.08,188.49,188.49,11761700
2019-09-12,189.86,190.93,187.23,187.47,187.47,11419800
2019-09-13,187.33,187.97,186.54,187.19,187.19,11441100
2019-09-16,186.93,187.79,185.77,186.22,186.22,8444800
2019-09-17,186.66,188.32,185.54,188.08,188.08,9671100
2019-09-18,188.09,189.08,186.01,188.14,188.14,9681900
2019-09-19,188.66,191.1,188.15,190.14,190.14,10392700
2019-09-20,190.66,193.1,188.12,189.93,189.93,19934200
2019-09-23,189.34,190.1,185.21,186.82,186.82,13327600
2019-09-24,187.98,188.04,180.39,181.28,181.28,18546600
2019-09-25,181.45,183.42,177.87,182.8,182.8,18068300
2019-09-26,181.33,181.4,177.67,180.11,180.11,16083300
2019-09-27,180.49,180.76,175.66,177.1,177.1,14656200
2019-09-30,177.87,178.67,176.85,178.08,178.08,10740000
2019-10-01,179.15,179.84,174.88,175.81,175.81,17073000
2019-10-02,174.84,176.53,173.09,174.6,174.6,16151700
2019-10-03,175.57,179.84,173.63,179.38,179.38,16086300
2019-10-04,179.55,180.98,178.1,180.45,180.45,10430200
2019-10-07,180.0,181.18,178.09,179.68,179.68,9178300
2019-10-08,178.26,180.37,177.72,177.75,177.75,9466900
2019-10-09,179.16,180.72,177.94,179.85,179.85,7556900
2019-10-10,180.32,181.61,179.17,180.03,180.03,8605000
2019-10-11,182.15,186.49,182.14,184.19,184.19,14930500
2019-10-14,184.2,184.62,182.57,183.28,183.28,7006000
2019-10-15,183.8,190.38,183.66,188.89,188.89,15039100
2019-10-16,188.32,189.7,186.9,189.55,189.55,10516900
2019-10-17,190.3,190.84,188.77,190.39,190.39,9603000
2019-10-18,190.23,191.49,183.92,185.85,185.85,16874200
